_____,__,____,_______
0.01-0.02,367,367,0.117%
0.02-0.03,16026,16393,5.243%
0.03-0.04,55044,71437,22.847%
0.04-0.05,64354,135791,43.430%
0.05-0.06,65389,201180,64.343%
0.06-0.07,47149,248329,79.422%
0.07-0.08,31020,279349,89.343%
0.08-0.09,17460,296809,94.928%
0.09-0.1,7964,304773,97.475%
0.1-0.11,3828,308601,98.699%
0.11-0.12,2344,310945,99.449%
0.12-0.13,1141,312086,99.814%
0.13-0.14,426,312512,99.950%
0.14-0.15,142,312654,99.995%
0.15-0.16,15,312669,100.000%
Grand Total,312669,,